"","TR","SUBID","order","CONN_ID","stim_number","stim_name","artist","yearofrelease","liking","yearofbirth","familiarity","SSA","age_bin","TR_onset","second_onset","memory.evoking.","ID","PC_univ","HC_univ"
"39448",848,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,223.06,175.9
"39449",848,"JDEN",15,27,22,"Simmer","Hubert Ho","",2,1968,1,NA,"",841,399.475,"",17,213.56,193.93
"39450",848,"JKAY",15,13,22,"Simmer","Hubert Ho","",NA,1950,0,NA,"",841,399.475,"",18,232,202.89
"39451",848,"JPRE",15,6,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",4,1944,4,NA,"",841,399.475,"",19,207.76,166.57
"39452",848,"JSCH",15,2,2,"My Old School","Steely Dan","1973",NA,1951,4,22,"adulthood",841,399.475,"",20,227.19,211.09
"39453",848,"LDIR",15,5,9,"Cavatina Op. 130","Beethoven","",NA,1956,1,NA,"",841,399.475,"",21,218.29,177.13
"39454",848,"LGEN",15,3,8,"Symphony No. 2 Finale","Mahler","",NA,1955,3,NA,"",841,399.475,"",22,213.22,147.51
"39455",848,"LJAC",15,17,24,"Manual Labor","Hubert Ho","",NA,1952,1,NA,"",841,399.475,"",23,246.6,192.6
"39456",848,"LOLE",15,14,6,"The Frst Time I Ever Saw Your Face","Peter, Paul, and Mary","1965",NA,1946,4,19,"",841,399.475,"",24,232.37,194.65
"39457",848,"MBLO",15,8,13,"Reckoner","Radiohead","",NA,1953,2,NA,"",841,399.475,"",25,230.51,207.27
"39458",848,"MCOR",15,31,6,"Kalu","Dalva de Oliveira","1952",3,1964,4,-12,"",841,399.475,"",35,225.03,205.39
"39459",848,"NLEN",15,24,24,"Manual Labor","Hubert Ho","",3,1942,2,NA,"",841,399.475,"",26,196.02,169.59
"39460",848,"OADE",15,29,22,"Africa","Toto","1982",4,1970,4,12,"childhood",841,399.475,"y",27,229.84,215.56
"39461",848,"SCAE",15,15,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1965,4,-1,"",841,399.475,"",28,238.83,180.18
"39462",848,"TCIE",15,10,20,"Beyond the Horizon","Georg Hajdu","",NA,1960,2,NA,"",841,399.475,"",29,214.51,165.82
"39463",848,"TSTA",15,23,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1959,4,5,"childhood",841,399.475,"",30,237.19,189.99
"39464",849,"190904GHER1",15,4,14,"Nocturne in C Sharp minor","Chopin","",NA,1953,3,NA,"",841,399.475,"",1,203.69,184.33
"39465",849,"220914GHER1",15,26,15,"Nessun Dorma","Bocelli","",1,1952,2,NA,"",841,399.475,"",2,245.8,189.71
"39466",849,"AEHR",15,20,7,"Adagio for Strings","Barber","",NA,1960,1,NA,"",841,399.475,"",3,229.75,218.56
"39467",849,"ASHA",15,18,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",NA,1951,2,NA,"",841,399.475,"",4,209.08,163.76
"39468",849,"BFOR",15,22,10,"John Wayne Gacy Jr.","Sufjan Stevens","",NA,1944,1,NA,"",841,399.475,"",5,212.51,166.43
"39469",849,"CWEI",15,7,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1941,4,23,"adulthood",841,399.475,"",6,207.22,163.48
"39470",849,"DFAI",15,12,8,"Symphony No. 2 Finale","Mahler","",NA,1953,1,NA,"",841,399.475,"",7,249.02,204
"39471",849,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,208.95,187.69
"39472",849,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,213.21,177.11
